GammaRay(API),ShaleVolume,Resistivity,Sonic,Vp(m/s),Vs(m/s),Density,NeutronPorosity,DensityPorosity(g/cc),PoissonRatio,Depth(m)
71.027,0.7674,0.69,118.28,8454.5147,3739.0768,2.2119,-999.25,0.2297,0.3784,2124
64.777,0.6761,0.58,124.53,8030.1935,3436.6559,2.1711,-999.25,0.2599,0.3879,2125
57.949,0.5763,0.46,131.81,7586.6778,3119.2265,2.1271,-999.25,0.2922,0.3983,2126
53.855,0.5164,0.35,131.56,7601.0946,3148.0804,2.1211,-999.25,0.2986,0.3965,2127
50.418,0.4661,0.25,131.56,7601.0946,3162.8958,2.1152,-999.25,0.3045,0.3953,2128
45.355,0.392,0.2,132.56,7543.7538,3139.5093,2.1023,-999.25,0.3157,0.3953,2129
45.324,0.3914,0.18,131.06,7630.0931,3207.9433,2.1085,-999.25,0.3119,0.3926,2130
49.98,0.4595,0.21,129.56,7718.4316,3257.3623,2.1229,-999.25,0.2999,0.3917,2131
56.949,0.5614,0.27,126.78,7887.6794,3359.8382,2.1472,-999.25,0.2802,0.3892,2132
64.652,0.6742,0.4,128.31,7793.6248,3252.4528,2.1538,-999.25,0.2709,0.3946,2133
63.043,0.6506,0.63,122.03,8194.7062,3573.0451,2.1797,-999.25,0.2557,0.3826,2134
65.09,0.6806,0.76,118.03,8472.4223,3780.6067,2.2026,-999.25,0.2398,0.3757,2135
67.402,0.7145,0.8,121.53,8228.421,3579.5662,2.1898,-999.25,0.2463,0.3833,2136
61.699,0.6309,0.82,122.53,8161.2666,3553.0136,2.175,-999.25,0.2596,0.3831,2137
67.777,0.72,0.78,121.53,8228.421,3577.8616,2.1904,-999.25,0.2456,0.3834,2138
61.324,0.6253,0.7,119.53,8366.1006,3715.0623,2.1885,-999.25,0.2513,0.3772,2139
57.73,0.5726,0.58,119.78,8348.6392,3718.1192,2.1809,-999.25,0.2586,0.3763,2140
56.824,0.5592,0.5,126.03,7934.6187,3397.3555,2.1503,-999.25,0.2784,0.3878,2141
65.527,0.687,0.46,134.06,7459.3466,2987.711,2.1306,-999.25,0.285,0.4045,2142
68.777,0.7347,0.47,137.81,7256.3675,2816.0314,2.1207,-999.25,0.2892,0.4113,2143
64.402,0.6704,0.49,129.81,7703.5668,3183.2165,2.1468,-999.25,0.2755,0.397,2144
61.824,0.6325,0.5,123.28,8111.6158,3513.6486,2.1717,-999.25,0.2616,0.3845,2145
57.574,0.57,0.51,124.53,8030.1935,3469.063,2.1584,-999.25,0.2728,0.3853,2146
55.949,0.5461,0.5,124.03,8062.5655,3501.8423,2.1578,-999.25,0.2743,0.3837,2147
58.73,0.5870000000000001,0.47,124.28,8046.347,3476.5385,2.1616,-999.25,0.27,0.3852,2148
58.574,0.5846,0.45,124.28,8046.347,3477.2539,2.1613,-999.25,0.2703,0.3852,2149
57.918,0.5749,0.42,126.78,7887.6794,3355.76,2.1488,-999.25,0.2786,0.3895,2150
65.527,0.6869,0.4,131.31,7615.5662,3109.6882,2.1423,-999.25,0.2777,0.4,2151
65.777,0.6906,0.38,132.81,7529.5535,3041.485,2.1363,-999.25,0.2813,0.4025,2152
66.84,0.7062,0.37,132.81,7529.5535,3037.0017,2.1381,-999.25,0.2794,0.4029,2153
60.074,0.6065,0.38,131.31,7615.5662,3133.0516,2.1328,-999.25,0.2873,0.3981,2154
66.34,0.6989,0.39,130.81,7644.6755,3128.9402,2.1458,-999.25,0.2749,0.3994,2155
64.652,0.674,0.41,133.81,7473.283,3002.2934,2.1301,-999.25,0.2859,0.4038,2156
65.277,0.6832,0.43,134.56,7431.629,2967.1444,2.128,-999.25,0.2868,0.4052,2157
66.465,0.7007,0.44,131.56,7601.0946,3094.405,2.1428,-999.25,0.2767,0.4007,2158
66.215,0.6970000000000001,0.45,135.06,7404.1167,2941.7581,2.1276,-999.25,0.2865,0.4063,2159
66.84,0.7062,0.49,137.31,7282.7908,2844.5156,2.1194,-999.25,0.2912,0.41,2160
71.277,0.7717,0.5,133.31,7501.3127,2996.344,2.1437,-999.25,0.2729,0.4051,2161
71.34,0.7727,0.5,136.56,7322.7885,2857.2224,2.1302,-999.25,0.2814,0.4102,2162
67.715,0.7191,0.51,140.31,7127.0758,2719.5271,2.1088,-999.25,0.2974,0.4148,2163
66.902,0.7071,0.5,138.06,7243.2276,2813.4015,2.1165,-999.25,0.2931,0.4112,2164
61.605,0.6289,0.5,134.81,7417.8473,2971.7993,2.1207,-999.25,0.2939,0.4044,2165
70.84,0.7653,0.51,136.06,7349.6987,2880.1913,2.1314,-999.25,0.281,0.4093,2166
70.402,0.7589,0.52,136.56,7322.7885,2861.0487,2.1286,-999.25,0.28300000000000003,0.4099,2167
75.09,0.8282,0.52,135.56,7376.8073,2883.7528,2.1408,-999.25,0.2721,0.4098,2168
69.652,0.7478,0.52,134.56,7431.629,2948.8725,2.1356,-999.25,0.2791,0.4066,2169
64.965,0.6785,0.52,131.06,7630.0931,3123.4801,2.1423,-999.25,0.278,0.3993,2170
65.777,0.6905,0.53,131.56,7601.0946,3097.3582,2.1416,-999.25,0.2779,0.4004,2171
61.73,0.6305,0.54,134.06,7459.3466,3003.7977,2.124,-999.25,0.2917,0.4032,2172
65.59,0.6877,0.56,133.06,7515.4066,3031.2683,2.1349,-999.25,0.2823,0.4029,2173
61.543,0.6277,0.56,132.56,7543.7538,3070.6702,2.13,-999.25,0.2881,0.4007,2174
59.793,0.6018,0.57,132.81,7529.5535,3067.0492,2.1259,-999.25,0.2918,0.4005,2175
61.23,0.623,0.6,132.56,7543.7538,3072.0242,2.1294,-999.25,0.2887,0.4006,2176
61.23,0.623,0.58,125.78,7950.3896,3390.369,2.1591,-999.25,0.27,0.3889,2177
62.949,0.6485,0.52,121.28,8245.3826,3613.3365,2.1830000000000003,-999.25,0.2537,0.3812,2178
58.074,0.5761,0.44,123.78,8078.8496,3505.3599,2.1626,-999.25,0.2699,0.384,2179
53.887,0.5139,0.34,126.03,7934.6187,3411.1453,2.1449,-999.25,0.2838,0.3866,2180
55.137,0.5325,0.29,125.78,7950.3896,3417.8984,2.1483,-999.25,0.2809,0.3866,2181
57.23,0.5635,0.3,124.03,8062.5655,3496.4825,2.1599,-999.25,0.2722,0.3842,2182
55.855,0.5429999999999999,0.33,121.78,8211.529,3619.8136,2.1679,-999.25,0.2681,0.3794,2183
52.074,0.4868,0.4,128.31,7793.6248,3308.415,2.1316,-999.25,0.2933,0.3901,2184
54.355,0.5206,0.48,128.06,7808.8396,3310.205,2.1367,-999.25,0.2886,0.3905,2185
56.043,0.5457,0.5,125.53,7966.2232,3426.3042,2.151,-999.25,0.2786,0.3865,2186
55.699,0.5405,0.49,128.31,7793.6248,3292.2788,2.138,-999.25,0.287,0.3914,2187
59.105,0.5911,0.49,126.03,7934.6187,3387.6744,2.1541,-999.25,0.2745,0.3885,2188
63.512,0.6567,0.5,125.28,7982.1201,3404.9962,2.1654,-999.25,0.2644,0.3888,2189
59.324,0.5943,0.52,124.53,8030.1935,3461.6198,2.1613,-999.25,0.2699,0.3859,2190
54.387,0.5208,0.5,125.28,7982.1201,3446.4146,2.1491,-999.25,0.2809,0.3854,2191
52.762,0.4965,0.45,128.56,7778.4692,3293.5557,2.1317,-999.25,0.2929,0.3908,2192
49.043,0.441,0.4,132.31,7558.0077,3136.2987,2.1091,-999.25,0.3094,0.396,2193
52.074,0.4861,0.32,134.06,7459.3466,3045.3536,2.1071,-999.25,0.3087,0.4,2194
53.168,0.5024,0.24,134.56,7431.629,3018.8369,2.1069,-999.25,0.3081,0.4012,2195
50.637,0.4646,0.21,134.81,7417.8473,3018.8924,2.1015,-999.25,0.3131,0.4007,2196
48.855,0.4379,0.2,136.06,7349.6987,2972.8191,2.0933,-999.25,0.3193,0.4022,2197
43.262,0.3544,0.17,134.81,7417.8473,3050.8958,2.0886,-999.25,0.3257,0.3982,2198
43.793,0.3622,0.19,134.31,7445.4619999999995,3070.4767,2.0916,-999.25,0.3236,0.3975,2199
40.512,0.3132,0.22,133.81,7473.283,3106.954,2.0879,-999.25,0.3279,0.3955,2200
35.512,0.2384,0.21,136.31,7336.2189,3020.0047,2.0691,-999.25,0.3426,0.39799999999999996,2201
38.918,0.2891,0.2,137.56,7269.5551,2952.244,2.07,-999.25,0.3399,0.4013,2202
38.512,0.2829,0.19,136.06,7349.6987,3017.7044,2.0753,-999.25,0.337,0.3986,2203
38.48,0.2823,0.17,132.06,7572.3156,3194.7441,2.0915,-999.25,0.327,0.3917,2204
43.699,0.3602,0.17,130.06,7688.759,3263.7125,2.1091,-999.25,0.3128,0.3901,2205
49.574,0.44799999999999995,0.22,129.56,7718.4316,3260.8066,2.1216,-999.25,0.3013,0.3914,2206
56.199,0.547,0.33,128.56,7778.4692,3278.428,2.1377,-999.25,0.2869,0.392,2207
57.887,0.5722,0.57,127.28,7856.6939,3332.2735,2.1463,-999.25,0.2803,0.3903,2208
58.918,0.5876,0.94,122.28,8177.9522,3579.5233,2.1709,-999.25,0.2641,0.3815,2209
63.918,0.6624,1.02,120.03,8331.2505,3676.0914,2.1906,-999.25,0.2482,0.3791,2210
67.277,0.7127,0.89,125.78,7950.3896,3363.3143,2.1698,-999.25,0.259,0.391,2211
69.902,0.752,0.75,135.56,7376.8073,2905.0062,2.1319,-999.25,0.2812,0.4082,2212
66.527,0.7015,0.55,132.06,7572.3156,3071.7259,2.1407,-999.25,0.2779,0.4015,2213
57.199,0.5617,0.37,130.81,7644.6755,3169.0273,2.1296,-999.25,0.2912,0.3962,2214
46.887,0.40700000000000003,0.25,132.56,7543.7538,3135.0708,2.104,-999.25,0.314,0.3956,2215
47.449,0.4154,0.19,134.31,7445.4619999999995,3054.9664,2.0978,-999.25,0.3175,0.3988,2216
45.262,0.3825,0.17,132.31,7558.0077,3153.5942,2.1022,-999.25,0.3161,0.3946,2217
